E:\anaconda3\envs\CRL\lib\site-packages\wandb\sdk\lib\import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
global_step=151112, episodic_return=[1305.4673]
global_step=151344, episodic_return=[134.512]
global_step=152336, episodic_return=[3379.2769]
global_step=152696, episodic_return=[5820.854]
global_step=153248, episodic_return=[305.37802]
global_step=154000, episodic_return=[1505.0891]
global_step=155544, episodic_return=[6748.429]
global_step=159088, episodic_return=[1945.019]
global_step=161344, episodic_return=[7003.042]
global_step=162848, episodic_return=[2302.7087]
global_step=163488, episodic_return=[1769.7303]

num_iterations:  16%|████████████████████                                                                                                      | 10/61 [06:57<34:00, 40.00s/it]
global_step=164288, episodic_return=[860.55695]
global_step=164456, episodic_return=[8663.776]
global_step=164688, episodic_return=[7385.042]
global_step=164792, episodic_return=[56.90198]
global_step=165640, episodic_return=[11295.546]
global_step=165728, episodic_return=[43.315945]
global_step=165848, episodic_return=[54.724598]
global_step=166560, episodic_return=[978.05383]
global_step=166576, episodic_return=[3654.9011]
global_step=166784, episodic_return=[585.20874]
global_step=166896, episodic_return=[48.77348]
global_step=167016, episodic_return=[61.49801]
global_step=167960, episodic_return=[784.3032]
global_step=168848, episodic_return=[496.42706]
global_step=168888, episodic_return=[1574.9838]
global_step=169016, episodic_return=[65.41773]
global_step=171584, episodic_return=[17025.49]
global_step=172688, episodic_return=[56667.367]
global_step=172744, episodic_return=[828.78784]
global_step=173536, episodic_return=[462.87726]
global_step=174912, episodic_return=[1158.2383]
global_step=175136, episodic_return=[3919.8977]
global_step=175168, episodic_return=[174.46826]
global_step=175344, episodic_return=[105.95578]
global_step=175672, episodic_return=[4234.576]
global_step=175784, episodic_return=[7675.3374]
global_step=177064, episodic_return=[723.6344]
global_step=178920, episodic_return=[2229.4792]
global_step=179008, episodic_return=[92327.234]
global_step=180016, episodic_return=[11453.308]
SPS: 394

num_iterations:  18%|██████████████████████                                                                                                    | 11/61 [07:36<33:05, 39.70s/it]
global_step=181608, episodic_return=[2393.6572]
global_step=181832, episodic_return=[158.85751]
global_step=182160, episodic_return=[1322.2656]
global_step=182360, episodic_return=[104.533844]
global_step=185224, episodic_return=[7070.079]
global_step=185936, episodic_return=[14941.305]
global_step=187480, episodic_return=[7705.5386]
global_step=188696, episodic_return=[2435.538]
global_step=188760, episodic_return=[1564.4197]
global_step=188880, episodic_return=[85.249855]
global_step=189512, episodic_return=[416.91208]
global_step=189600, episodic_return=[43.29022]
global_step=189712, episodic_return=[60.855484]
global_step=189840, episodic_return=[66.33575]
global_step=190192, episodic_return=[937.29205]
global_step=190368, episodic_return=[98.55763]
global_step=190728, episodic_return=[6514.5825]
global_step=191080, episodic_return=[6272.54]
global_step=191960, episodic_return=[2864.3367]
global_step=192824, episodic_return=[551.80365]
global_step=193736, episodic_return=[4434.594]
global_step=194976, episodic_return=[2285.957]
SPS: 395

num_iterations:  20%|████████████████████████                                                                                                  | 12/61 [08:17<32:41, 40.03s/it]
global_step=197744, episodic_return=[1545.3955]
global_step=197864, episodic_return=[53.96676]
global_step=198096, episodic_return=[4853.696]
global_step=199288, episodic_return=[685.92303]
global_step=199408, episodic_return=[12891.573]
global_step=199584, episodic_return=[6147.702]
global_step=199688, episodic_return=[60.332806]
global_step=199736, episodic_return=[274.77795]
global_step=199888, episodic_return=[147.51636]
global_step=200048, episodic_return=[102.62448]
global_step=200176, episodic_return=[71.616425]
global_step=200280, episodic_return=[51.29759]
global_step=201312, episodic_return=[28265.44]
global_step=201440, episodic_return=[57.999493]
global_step=201824, episodic_return=[3545.781]
global_step=201888, episodic_return=[2974.6853]
global_step=203136, episodic_return=[1597.1493]
global_step=203192, episodic_return=[804.7325]
global_step=203264, episodic_return=[69.1452]
global_step=203304, episodic_return=[85.59036]
global_step=203432, episodic_return=[65.16167]
global_step=203608, episodic_return=[110.86164]
global_step=203728, episodic_return=[64.02544]
global_step=206096, episodic_return=[3813.8086]
global_step=206416, episodic_return=[2145.3813]
global_step=206544, episodic_return=[61.28166]
global_step=207184, episodic_return=[9261.1875]
global_step=208024, episodic_return=[482.08624]
global_step=211432, episodic_return=[7656.1494]
global_step=212664, episodic_return=[9984.219]
SPS: 395
global_step=213152, episodic_return=[331.71628]

